Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00627166","PRACTICAL SOLUTIONS FOR AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00627166","","0","31-MAR-17","100","0"
"C00563726","MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00563726","SMITH, JASON","15671","30-JUN-18","163317.8","176180.8"
"C00486738","MANY INDIVIDUAL CONSERVATIVES HELPING ELECT LEADERS EVERYWHERE (MICHELEPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00486738","","6221.07","30-JUN-18","18766.9","4150.3"
"C00340661","TEXAS FREEDOM FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00340661","","0","05-FEB-18","24079.4","12817.5"
"C00403675","AMERICA FORWARD LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00403675","CONYERS, JOHN","22569.17","30-JUN-18","0","18500"
"C00398750","NEW PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00398750","","242685.46","30-JUN-18","577695.6","565357.4"
"C00626184","PORT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00626184","","0","30-JUN-18","0","0"
"C00549725","CONSERVATIVE ROUNDTABLE","http://docquery.fec.gov/cgi-bin/fecimg/?C00549725","","28551.17","30-JUN-18","205363.1","232113.4"
"C00625558","MILK RIVER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00625558","","16833.38","30-JUN-18","117078.4","84869"
"C00553883","BUILDING AMERICAN CONSERVATISM PAC AKA GO BY BAC PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00553883","","12965.16","30-JUN-18","2006","5000"
"C00625111","STRENGTHENING VIRGINIA'S WORKING FAMILIES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00625111","","10799.09","30-JUN-18","30972","30000"
"C00383422","AMERICANS FOR REPUBLICAN LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00383422","LANCE, LEONARD","18742.32","30-JUN-18","9980.6","20000"
"C00624809","DEFEND AMERICA NOW PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00624809","","13376.06","30-JUN-18","60788.1","73500"
"C00585893","CONSERVATIVE PROMISES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00585893","","56019.85","30-JUN-18","55887.9","104893.7"
"C00332890","MARY BONO COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00332890","","2417.65","30-JUN-18","18737.7","0"
"C00590448","MAHALO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00590448","","0","31-MAR-17","1049.7","0"
"C00576090","EVERGREEN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00576090","DELBENE, SUZAN K","8651.24","30-JUN-18","75003.1","77128"
"C00525030","TOGETHER EVERYONE REALIZES REAL IMPACT AKA TERRI PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00525030","SEWELL, TERRYCINA ANDREA","22789","30-JUN-18","197592.9","146570.5"
"C00467837","EDPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00467837","PERLMUTTER, ED","28757.43","30-JUN-18","180832","173500"
"C00524603","KEEP AMERICA ROLLING PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00524603","KELLY, GEORGE J JR J. JR.","51199.21","30-JUN-18","115064.6","116620.4"
"C00619585","MOUNTAIN STATE VICTORY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00619585","","2048.12","30-JUN-18","8451.9","8000"
"C00431478","GIVING WILLINGLY EMPOWERING NATIONALLY (GWEN) PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00431478","MOORE, GWEN","19354.56","30-JUN-18","189375.7","198578.6"
"C00536540","JOBS, FREEDOM, AND SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00536540","CRUZ, RAFAEL","951731.99","30-JUN-18","730667.2","1512459.1"
"C00489906","FUNDING DEVELOPING LEADERSHIP POLITICAL ACTION COMMITTEE AKA FDL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00489906","LUCAS, FRANK","17179.2","30-JUN-18","108224.8","61500"
"C00599092","WOLF PACK","http://docquery.fec.gov/cgi-bin/fecimg/?C00599092","CLEAVER II, EMANUEL","95951.92","30-JUN-18","32670.8","64500"
"C00385534","LEGPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00385534","CARDIN, BENJAMIN L","82744.24","30-JUN-18","247502.8","241500"
"C00545970","ROLE MODEL LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00545970","","25070.2","30-JUN-18","0","10400"
